,Date,Accumulative,New Cases
0,2020-03-03,4,
1,2020-03-04,6,2
2,2020-03-05,7,1
3,2020-03-06,10,3
4,2020-03-07,12,2
5,2020-03-08,15,3
6,2020-03-09,19,4
7,2020-03-10,24,5
8,2020-03-11,30,6
9,2020-03-12,37,7
10,2020-03-13,46,9
11,2020-03-14,56,10
12,2020-03-15,69,13
13,2020-03-16,84,15
14,2020-03-17,101,17
15,2020-03-18,121,20
16,2020-03-19,145,24
17,2020-03-20,173,28
18,2020-03-21,206,33
19,2020-03-22,243,37
20,2020-03-23,287,44
21,2020-03-24,337,50
22,2020-03-25,394,57
23,2020-03-26,460,66
24,2020-03-27,535,75
25,2020-03-28,619,84
26,2020-03-29,715,96
27,2020-03-30,823,108
28,2020-03-31,944,121
29,2020-04-01,1079,135
30,2020-04-02,1231,152
31,2020-04-03,1399,168
32,2020-04-04,1587,188
33,2020-04-05,1794,207
34,2020-04-06,2023,229
35,2020-04-07,2275,252
36,2020-04-08,2552,277
37,2020-04-09,2855,303
38,2020-04-10,3186,331
39,2020-04-11,3547,361
40,2020-04-12,3940,393
41,2020-04-13,4366,426
42,2020-04-14,4827,461
43,2020-04-15,5324,497
44,2020-04-16,5861,537
45,2020-04-17,6438,577
46,2020-04-18,7057,619
47,2020-04-19,7719,662
48,2020-04-20,8427,708
49,2020-04-21,9183,756
50,2020-04-22,9987,804
51,2020-04-23,10841,854
52,2020-04-24,11747,906
53,2020-04-25,12706,959
54,2020-04-26,13720,1014
55,2020-04-27,14789,1069
56,2020-04-28,15915,1126
57,2020-04-29,17099,1184
58,2020-04-30,18342,1243
59,2020-05-01,19645,1303
60,2020-05-02,21009,1364
61,2020-05-03,22434,1425
62,2020-05-04,23921,1487
63,2020-05-05,25470,1549
64,2020-05-06,27082,1612
65,2020-05-07,28757,1675
66,2020-05-08,30495,1738
67,2020-05-09,32297,1802
68,2020-05-10,34161,1864
69,2020-05-11,36088,1927
70,2020-05-12,38077,1989
71,2020-05-13,40128,2051
72,2020-05-14,42241,2113
73,2020-05-15,44415,2174
74,2020-05-16,46649,2234
75,2020-05-17,48942,2293
76,2020-05-18,51293,2351
77,2020-05-19,53702,2409
78,2020-05-20,56166,2464
79,2020-05-21,58685,2519
80,2020-05-22,61258,2573
81,2020-05-23,63883,2625
82,2020-05-24,66559,2676
83,2020-05-25,69284,2725
84,2020-05-26,72056,2772
85,2020-05-27,74875,2819
86,2020-05-28,77737,2862
87,2020-05-29,80642,2905
88,2020-05-30,83588,2946
89,2020-05-31,86573,2985
90,2020-06-01,89595,3022
91,2020-06-02,92652,3057
92,2020-06-03,95742,3090
93,2020-06-04,98863,3121
94,2020-06-05,102014,3151
95,2020-06-06,105192,3178
96,2020-06-07,108396,3204
97,2020-06-08,111623,3227
98,2020-06-09,114872,3249
99,2020-06-10,118140,3268
100,2020-06-11,121426,3286
101,2020-06-12,124727,3301
102,2020-06-13,128043,3316
103,2020-06-14,131370,3327
104,2020-06-15,134707,3337
105,2020-06-16,138053,3346
106,2020-06-17,141404,3351
107,2020-06-18,144761,3357
108,2020-06-19,148120,3359
109,2020-06-20,151480,3360
110,2020-06-21,154840,3360
111,2020-06-22,158197,3357
112,2020-06-23,161550,3353
113,2020-06-24,164898,3348
114,2020-06-25,168240,3342
115,2020-06-26,171572,3332
116,2020-06-27,174895,3323
117,2020-06-28,178206,3311
118,2020-06-29,181505,3299
119,2020-06-30,184790,3285
120,2020-07-01,188060,3270
121,2020-07-02,191314,3254
122,2020-07-03,194550,3236
123,2020-07-04,197767,3217
124,2020-07-05,200964,3197
125,2020-07-06,204141,3177
126,2020-07-07,207296,3155
127,2020-07-08,210429,3133
128,2020-07-09,213538,3109
129,2020-07-10,216623,3085
130,2020-07-11,219682,3059
131,2020-07-12,222716,3034
132,2020-07-13,225723,3007
133,2020-07-14,228703,2980
134,2020-07-15,231655,2952
135,2020-07-16,234578,2923
136,2020-07-17,237473,2895
137,2020-07-18,240338,2865
138,2020-07-19,243173,2835
139,2020-07-20,245978,2805
140,2020-07-21,248752,2774
141,2020-07-22,251495,2743
142,2020-07-23,254207,2712
143,2020-07-24,256886,2679
144,2020-07-25,259534,2648
145,2020-07-26,262150,2616
146,2020-07-27,264733,2583
147,2020-07-28,267284,2551
148,2020-07-29,269803,2519
149,2020-07-30,272288,2485
150,2020-07-31,274741,2453
151,2020-08-01,277160,2419
152,2020-08-02,279547,2387
153,2020-08-03,281901,2354
154,2020-08-04,284222,2321
155,2020-08-05,286510,2288
156,2020-08-06,288766,2256
157,2020-08-07,290989,2223
158,2020-08-08,293179,2190
159,2020-08-09,295336,2157
160,2020-08-10,297461,2125
161,2020-08-11,299554,2093
162,2020-08-12,301615,2061
163,2020-08-13,303644,2029
164,2020-08-14,305642,1998
165,2020-08-15,307608,1966
166,2020-08-16,309543,1935
167,2020-08-17,311446,1903
168,2020-08-18,313319,1873
169,2020-08-19,315162,1843
170,2020-08-20,316974,1812
171,2020-08-21,318756,1782
172,2020-08-22,320508,1752
173,2020-08-23,322231,1723
174,2020-08-24,323925,1694
175,2020-08-25,325590,1665
176,2020-08-26,327226,1636
177,2020-08-27,328834,1608
178,2020-08-28,330415,1581
179,2020-08-29,331967,1552
180,2020-08-30,333493,1526
181,2020-08-31,334991,1498
182,2020-09-01,336463,1472
183,2020-09-02,337908,1445
184,2020-09-03,339328,1420
185,2020-09-04,340722,1394
186,2020-09-05,342090,1368
187,2020-09-06,343434,1344
188,2020-09-07,344753,1319
189,2020-09-08,346048,1295
190,2020-09-09,347319,1271
191,2020-09-10,348566,1247
192,2020-09-11,349790,1224
193,2020-09-12,350991,1201
194,2020-09-13,352169,1178
195,2020-09-14,353326,1157
196,2020-09-15,354460,1134
197,2020-09-16,355573,1113
198,2020-09-17,356664,1091
199,2020-09-18,357735,1071
200,2020-09-19,358785,1050
201,2020-09-20,359815,1030
202,2020-09-21,360825,1010
203,2020-09-22,361815,990
204,2020-09-23,362786,971
205,2020-09-24,363738,952
206,2020-09-25,364672,934
207,2020-09-26,365587,915
208,2020-09-27,366484,897
209,2020-09-28,367363,879
210,2020-09-29,368225,862
211,2020-09-30,369070,845
212,2020-10-01,369898,828
213,2020-10-02,370710,812
214,2020-10-03,371505,795
215,2020-10-04,372285,780
216,2020-10-05,373049,764
217,2020-10-06,373797,748
218,2020-10-07,374530,733
219,2020-10-08,375249,719
220,2020-10-09,375953,704
221,2020-10-10,376642,689
222,2020-10-11,377318,676
223,2020-10-12,377979,661
224,2020-10-13,378628,649
225,2020-10-14,379263,635
226,2020-10-15,379885,622
227,2020-10-16,380494,609
228,2020-10-17,381091,597
229,2020-10-18,381675,584
230,2020-10-19,382248,573
231,2020-10-20,382808,560
232,2020-10-21,383357,549
233,2020-10-22,383895,538
234,2020-10-23,384421,526
235,2020-10-24,384936,515
236,2020-10-25,385441,505
237,2020-10-26,385935,494
238,2020-10-27,386419,484
239,2020-10-28,386893,474
240,2020-10-29,387357,464
241,2020-10-30,387811,454
242,2020-10-31,388256,445
243,2020-11-01,388691,435
244,2020-11-02,389117,426
245,2020-11-03,389534,417
246,2020-11-04,389942,408
247,2020-11-05,390342,400
248,2020-11-06,390733,391
249,2020-11-07,391116,383
250,2020-11-08,391491,375
251,2020-11-09,391858,367
252,2020-11-10,392217,359
253,2020-11-11,392569,352
254,2020-11-12,392913,344
255,2020-11-13,393250,337
256,2020-11-14,393579,329
257,2020-11-15,393902,323
258,2020-11-16,394218,316
259,2020-11-17,394527,309
260,2020-11-18,394829,302
261,2020-11-19,395125,296
262,2020-11-20,395415,290
263,2020-11-21,395698,283
264,2020-11-22,395975,277
265,2020-11-23,396247,272
266,2020-11-24,396512,265
267,2020-11-25,396772,260
268,2020-11-26,397026,254
269,2020-11-27,397275,249
270,2020-11-28,397518,243
271,2020-11-29,397757,239
272,2020-11-30,397990,233
273,2020-12-01,398218,228
274,2020-12-02,398441,223
275,2020-12-03,398659,218
276,2020-12-04,398873,214
277,2020-12-05,399082,209
278,2020-12-06,399286,204
279,2020-12-07,399486,200
280,2020-12-08,399682,196
281,2020-12-09,399873,191
282,2020-12-10,400061,188
283,2020-12-11,400244,183
284,2020-12-12,400423,179
285,2020-12-13,400599,176
286,2020-12-14,400770,171
287,2020-12-15,400938,168
288,2020-12-16,401102,164
289,2020-12-17,401263,161
290,2020-12-18,401420,157
291,2020-12-19,401574,154
292,2020-12-20,401725,151
293,2020-12-21,401872,147
294,2020-12-22,402016,144
295,2020-12-23,402156,140
296,2020-12-24,402294,138
297,2020-12-25,402429,135
298,2020-12-26,402561,132
299,2020-12-27,402690,129
300,2020-12-28,402816,126
301,2020-12-29,402939,123
302,2020-12-30,403060,121
303,2020-12-31,403178,118
304,2021-01-01,403293,115
305,2021-01-02,403406,113
306,2021-01-03,403517,111
307,2021-01-04,403625,108
308,2021-01-05,403731,106
309,2021-01-06,403834,103
310,2021-01-07,403935,101
311,2021-01-08,404034,99
312,2021-01-09,404131,97
313,2021-01-10,404226,95
314,2021-01-11,404318,92
315,2021-01-12,404409,91
316,2021-01-13,404497,88
317,2021-01-14,404584,87
318,2021-01-15,404669,85
319,2021-01-16,404751,82
320,2021-01-17,404832,81
321,2021-01-18,404912,80
322,2021-01-19,404989,77
323,2021-01-20,405065,76
324,2021-01-21,405139,74
325,2021-01-22,405212,73
326,2021-01-23,405283,71
327,2021-01-24,405352,69
328,2021-01-25,405420,68
329,2021-01-26,405486,66
330,2021-01-27,405551,65
331,2021-01-28,405615,64
332,2021-01-29,405677,62
333,2021-01-30,405738,61
334,2021-01-31,405797,59
335,2021-02-01,405855,58
336,2021-02-02,405912,57
337,2021-02-03,405968,56
338,2021-02-04,406022,54
339,2021-02-05,406075,53
340,2021-02-06,406127,52
341,2021-02-07,406178,51
342,2021-02-08,406228,50
343,2021-02-09,406276,48
344,2021-02-10,406324,48
345,2021-02-11,406370,46
346,2021-02-12,406416,46
347,2021-02-13,406460,44
348,2021-02-14,406504,44
349,2021-02-15,406546,42
350,2021-02-16,406588,42
351,2021-02-17,406629,41
352,2021-02-18,406669,40
353,2021-02-19,406708,39
354,2021-02-20,406746,38
355,2021-02-21,406783,37
356,2021-02-22,406819,36
357,2021-02-23,406855,36
358,2021-02-24,406890,35
359,2021-02-25,406924,34
360,2021-02-26,406957,33
361,2021-02-27,406990,33
362,2021-02-28,407021,31
363,2021-03-01,407053,32
364,2021-03-02,407083,30
365,2021-03-03,407113,30
366,2021-03-04,407142,29
367,2021-03-05,407171,29
368,2021-03-06,407198,27
369,2021-03-07,407226,28
370,2021-03-08,407252,26
371,2021-03-09,407278,26
372,2021-03-10,407304,26
373,2021-03-11,407329,25
374,2021-03-12,407353,24
375,2021-03-13,407377,24
376,2021-03-14,407400,23
377,2021-03-15,407423,23
378,2021-03-16,407445,22
379,2021-03-17,407467,22
380,2021-03-18,407489,22
381,2021-03-19,407509,20
382,2021-03-20,407530,21
383,2021-03-21,407550,20
384,2021-03-22,407569,19
385,2021-03-23,407588,19
386,2021-03-24,407607,19
387,2021-03-25,407625,18
388,2021-03-26,407643,18
389,2021-03-27,407660,17
390,2021-03-28,407678,18
391,2021-03-29,407694,16
392,2021-03-30,407711,17
393,2021-03-31,407726,15
394,2021-04-01,407742,16
395,2021-04-02,407757,15
396,2021-04-03,407772,15
397,2021-04-04,407787,15
398,2021-04-05,407801,14
399,2021-04-06,407815,14
400,2021-04-07,407829,14
401,2021-04-08,407842,13
402,2021-04-09,407855,13
403,2021-04-10,407868,13
404,2021-04-11,407880,12
405,2021-04-12,407893,13
406,2021-04-13,407905,12
407,2021-04-14,407916,11
408,2021-04-15,407928,12
409,2021-04-16,407939,11
410,2021-04-17,407950,11
411,2021-04-18,407960,10
412,2021-04-19,407971,11
413,2021-04-20,407981,10
414,2021-04-21,407991,10
415,2021-04-22,408001,10
416,2021-04-23,408010,9
417,2021-04-24,408020,10
418,2021-04-25,408029,9
419,2021-04-26,408038,9
420,2021-04-27,408046,8
421,2021-04-28,408055,9
422,2021-04-29,408063,8
423,2021-04-30,408071,8
424,2021-05-01,408079,8
425,2021-05-02,408087,8
426,2021-05-03,408095,8
427,2021-05-04,408102,7
428,2021-05-05,408110,8
429,2021-05-06,408117,7
430,2021-05-07,408124,7
431,2021-05-08,408131,7
432,2021-05-09,408137,6
433,2021-05-10,408144,7
434,2021-05-11,408150,6
435,2021-05-12,408156,6
436,2021-05-13,408163,7
437,2021-05-14,408168,5
438,2021-05-15,408174,6
439,2021-05-16,408180,6
440,2021-05-17,408186,6
441,2021-05-18,408191,5
442,2021-05-19,408196,5
443,2021-05-20,408202,6
444,2021-05-21,408207,5
445,2021-05-22,408212,5
446,2021-05-23,408217,5
447,2021-05-24,408221,4
448,2021-05-25,408226,5
449,2021-05-26,408231,5
450,2021-05-27,408235,4
451,2021-05-28,408239,4
452,2021-05-29,408244,5
453,2021-05-30,408248,4
454,2021-05-31,408252,4
455,2021-06-01,408256,4
456,2021-06-02,408260,4
457,2021-06-03,408264,4
458,2021-06-04,408267,3
459,2021-06-05,408271,4
460,2021-06-06,408275,4
461,2021-06-07,408278,3
462,2021-06-08,408282,4
463,2021-06-09,408285,3
464,2021-06-10,408288,3
465,2021-06-11,408291,3
466,2021-06-12,408294,3
467,2021-06-13,408298,4
468,2021-06-14,408301,3
469,2021-06-15,408303,2
470,2021-06-16,408306,3
471,2021-06-17,408309,3
472,2021-06-18,408312,3
473,2021-06-19,408314,2
474,2021-06-20,408317,3
475,2021-06-21,408320,3
476,2021-06-22,408322,2
477,2021-06-23,408325,3
478,2021-06-24,408327,2
479,2021-06-25,408329,2
480,2021-06-26,408332,3
481,2021-06-27,408334,2
482,2021-06-28,408336,2
483,2021-06-29,408338,2
484,2021-06-30,408340,2
485,2021-07-01,408342,2
